Accession,(SSI VS NSI)p-value,(SSI VS NSI)Log2Fc,(SSI VS SS)p-value,(SSI VS SS)Log2Fc,(NSI VS NS)p-value,(NSI VS NS)Log2Fc,(SS VS NS)p-value,(SS VS NS)Log2Fc,SSI VS NSI-DE,SSI VS NSI-Up,SSI VS NSI-Down,SSI VS SS-DE,SSI VS SS-Up,SSI VS SS-Down,NSI VS NS-DE,NSI VS NS-Up,NSI VS NS-Down,SS VS NS-DE,SS VS NS-Up,SS VS NS-Down
PRR73_ORYSJ,0.012281087,0.166150079,0.034848483,0.265776764,NP,NP,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
PSS3_ORYSJ,0.000362899,0.311793863,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
PTA12_ORYSJ,0.000232087,0.23438335,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
PWD_ORYSJ,0.071876453,0.070989392,0.000198563,-1.685014743,NP,NP,NP,NP,0,0,0,1,0,1,0,0,0,0,0,0
PXG_ORYSJ,0.093023452,0.118408879,NP,NP,0.000211392,0.717435785,NP,NP,0,0,0,0,0,0,1,1,0,0,0,0
Q05KP6_ORYSJ,0.308369272,0.020288309,NP,NP,0.46790938,0.04341197,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q0D3C5_ORYSJ,0.264059261,-0.038270547,0.210201532,0.240872181,0.00179152,-0.334416888,NP,NP,0,0,0,0,0,0,1,0,1,0,0,0
Q0D412_ORYSJ,0.004887376,0.125520536,0.027825876,0.083465512,0.001586176,-0.171632803,0.327356627,-0.098613414,1,1,0,1,1,0,1,0,1,0,0,0
Q0D429_ORYSJ,9.07E-05,0.351240354,NP,NP,0.095347018,-0.044492392,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q0D624_ORYSJ,0.000436536,-0.370909291,0.102905746,0.323425346,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q0D674_ORYSJ,0.00513218,0.199766627,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q0D9Q1_ORYSJ,0.000263887,0.850039653,NP,NP,3.37E-06,-1.196850713,NP,NP,1,1,0,0,0,0,1,0,1,0,0,0
Q0DCE3_ORYSJ,0.000587571,0.32461129,NP,NP,0.000463017,-0.226875503,NP,NP,1,1,0,0,0,0,1,0,1,0,0,0
Q0DH82_ORYSJ,0.135142914,0.059952021,0.131184486,-0.397420418,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q0DIL4_ORYSJ,0.223200649,-0.033190801,8.03E-05,0.922100644,NP,NP,NP,NP,0,0,0,1,1,0,0,0,0,0,0,0
Q0DL24_ORYSJ,0.00049629,-0.38861868,0.239104055,0.134031455,0.0144358,-0.088937593,NP,NP,1,0,1,0,0,0,1,0,1,0,0,0
Q0DLA4_ORYSJ,6.65E-05,-0.37601341,0.088446399,-0.109362006,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q0DNN7_ORYSJ,0.31792101,-0.028657996,NP,NP,0.001683313,0.179069524,NP,NP,0,0,0,0,0,0,1,1,0,0,0,0
Q0DS53_ORYSJ,0.000393631,-0.38156331,0.169841655,0.050113646,0.324126654,0.023201687,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q0DTW2_ORYSJ,0.034627679,0.272337281,0.000816449,1.215607012,NP,NP,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
Q0E2T9_ORYSJ,0.014459238,0.301502975,0.013053632,0.88126389,0.172928546,-0.138184815,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
Q0ILK0_ORYSJ,0.434369748,-0.00628641,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q0IMP1_ORYSJ,0.432938523,-0.008673726,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q0IRT6_ORYSJ,0.054892862,-0.082427724,0.354365452,0.026609712,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q0IS17_ORYSJ,0.000384846,-0.417089006,0.063144026,0.225762524,0.170957466,0.026716023,0.078782038,-0.179259652,1,0,1,0,0,0,0,0,0,0,0,0
Q0ISQ7_ORYSJ,0.046069978,0.252449696,0.005020571,0.558790167,4.50E-09,#NUM!,0.119393176,-0.425007618,1,1,0,1,1,0,1,0,0,0,0,0
Q0IT98_ORYSJ,0.030057266,-0.079024446,0.001828993,0.549611947,NP,NP,NP,NP,1,0,1,1,1,0,0,0,0,0,0,0
Q0ITV5_ORYSJ,0.088548925,0.093149586,0.026889316,-0.287846607,NP,NP,NP,NP,0,0,0,1,0,1,0,0,0,0,0,0
Q0IX96_ORYSJ,1.83E-05,0.290084403,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q0J0M6_ORYSJ,0.021407812,-0.100869447,0.367064354,0.025257036,0.000201758,-0.364678688,NP,NP,1,0,1,0,0,0,1,0,1,0,0,0
Q0J0S7_ORYSJ,0.060430229,0.109222781,NP,NP,0.000183936,0.582589707,NP,NP,0,0,0,0,0,0,1,1,0,0,0,0
Q0J1L4_ORYSJ,0.055995034,0.155687887,0.002453222,0.649461079,NP,NP,NP,NP,0,0,0,1,1,0,0,0,0,0,0,0
Q0J1T6_ORYSJ,0.046066257,-0.061301727,NP,NP,0.000386573,0.304314405,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
Q0J256_ORYSJ,0.403647627,0.015848859,NP,NP,0.038736073,0.131198752,NP,NP,0,0,0,0,0,0,1,1,0,0,0,0
Q0J2R4_ORYSJ,0.011808146,0.135534845,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q0J415_ORYSJ,0.019987886,-0.093448548,0.004625745,0.353170666,NP,NP,NP,NP,1,0,1,1,1,0,0,0,0,0,0,0
Q0J435_ORYSJ,0.061644752,0.161352687,0.001295824,1.124061501,NP,NP,NP,NP,0,0,0,1,1,0,0,0,0,0,0,0
Q0J8A6_ORYSJ,0.002351202,-0.329580339,NP,NP,0.321333079,-0.016741089,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q0J8M1_ORYSJ,0.184788397,-0.069802117,0.121815451,-0.243071698,0.000758672,-0.342792191,NP,NP,0,0,0,0,0,0,1,0,1,0,0,0
Q0J9V2_ORYSJ,0.007417706,-0.131239572,0.075976635,0.231568331,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q0J9W3_ORYSJ,0.403056336,0.016271123,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q0JA50_ORYSJ,0.385754815,0.011470084,0.329290021,0.049051093,0.002394723,-0.312061149,NP,NP,0,0,0,0,0,0,1,0,1,0,0,0
Q0JAL2_ORYSJ,0.207060489,-0.040832959,NP,NP,0.000592483,-0.259692041,NP,NP,0,0,0,0,0,0,1,0,1,0,0,0
Q0JCU5_ORYSJ,0.449421162,0.009631018,0.000867409,1.507178376,NP,NP,NP,NP,0,0,0,1,1,0,0,0,0,0,0,0
Q0JD86_ORYSJ,0.055188007,0.135831086,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q0JF47_ORYSJ,0.015162909,-0.126136159,0.156950358,0.10089501,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q0JF76_ORYSJ,0.012400959,-0.269199155,NP,NP,0.098667371,-0.098376091,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q0JF92_ORYSJ,2.16E-05,0.910909542,0.000131382,1.124551214,0.142737917,-0.048137384,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
Q0JGX2_ORYSJ,0.43487615,0.009244858,NP,NP,0.000314687,0.167836167,NP,NP,0,0,0,0,0,0,1,1,0,0,0,0
Q0JJT0_ORYSJ,0.000204057,-0.31110338,NP,NP,0.007263432,0.186665892,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
Q0JJU2_ORYSJ,0.000212326,0.43355897,0.283243303,-0.057741913,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q0JLN8_ORYSJ,0.181769634,0.081521382,0.000968036,2.077146183,NP,NP,NP,NP,0,0,0,1,1,0,0,0,0,0,0,0
Q0JMC4_ORYSJ,0.021844497,0.478653366,0.016876183,-0.559851602,0.388174383,0.015267368,NP,NP,1,1,0,1,0,1,0,0,0,0,0,0
Q0JN26_ORYSJ,0.044713677,0.617441732,0.124153134,0.342817993,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q0JPD3_ORYSJ,1.90E-05,-0.359300775,NP,NP,0.003840829,0.089705195,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
Q0JPK0_ORYSJ,1.08E-05,0.43364494,NP,NP,0.023989935,-0.090182695,NP,NP,1,1,0,0,0,0,1,0,1,0,0,0
Q0JQD0_ORYSJ,0.030466091,-0.073300077,0.096256492,0.092675021,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q0JQI5_ORYSJ,0.097501713,-0.105010155,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q0JR20_ORYSJ,0.126377665,0.370742839,0.160750996,-0.243222573,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q0JRG9_ORYSJ,0.000204464,1.06257948,0.395980818,-0.155303859,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q109Y3_ORYSJ,0.033673715,-0.063241901,0.300132017,-0.069180511,0.195999104,0.043237097,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q10A97_ORYSJ,0.067097699,-0.069995588,NP,NP,0.483363668,-0.003796172,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q10AN5_ORYSJ,0.167485313,0.139994345,0.003407434,1.053309848,0.243637234,0.015140323,0.249413445,0.07812107,0,0,0,1,1,0,0,0,0,0,0,0
Q10BX7_ORYSJ,0.184601234,-0.971740472,0.314233543,-0.251098489,NP,NP,0.186643268,0.102349508,0,0,0,0,0,0,0,0,0,0,0,0
Q10CF1_ORYSJ,0.223200649,-0.033190801,NP,NP,0.013198447,0.131457836,0.000447885,-0.648829464,0,0,0,0,0,0,1,1,0,1,0,1
Q10EZ0_ORYSJ,0.000313545,0.27245085,0.00151529,0.544609479,0.28749728,-0.01878645,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
Q10H93_ORYSJ,0.008371878,-0.14809116,0.262160661,-0.128105491,0.095347018,-0.044492392,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q10HH4_ORYSJ,0.460609882,0.010298315,0.272983037,0.207360241,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q10JI7_ORYSJ,0.040715113,0.293039231,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q10LH9_ORYSJ,0.013729391,-0.224119255,NP,NP,0.136801203,0.031240417,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q10LT8_ORYSJ,0.008432166,-0.618767969,NP,NP,0.000385857,1.834332226,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
Q10MM5_ORYSJ,0.008166116,-0.130369313,0.303091477,-0.186631907,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q10N26_ORYSJ,0.024497714,-0.495885431,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q10NP2_ORYSJ,0.060881863,-0.13021068,8.05E-05,1.050120874,NP,NP,NP,NP,0,0,0,1,1,0,0,0,0,0,0,0
Q10NZ0_ORYSJ,0.00528124,0.206721944,0.022296639,0.606392702,NP,NP,0.205451814,-0.237702301,1,1,0,1,1,0,0,0,0,0,0,0
Q10PD3_ORYSJ,0.161789864,-0.120025709,0.024547895,1.004371073,6.00E-05,-1.920234746,NP,NP,0,0,0,1,1,0,1,0,1,0,0,0
Q10PK5_ORYSJ,0.054313198,-0.091656509,0.019558636,-0.253381597,NP,NP,NP,NP,0,0,0,1,0,1,0,0,0,0,0,0
Q10PW1_ORYSJ,0.413276249,-0.024531535,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q10QA3_ORYSJ,0.413276249,-0.024531535,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q10QY0_ORYSJ,0.009806481,-1.101465979,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q10R26_ORYSJ,0.014490194,-0.127059865,0.045098473,0.201133035,0.356565718,-0.011859828,NP,NP,1,0,1,1,1,0,0,0,0,0,0,0
Q10RW7_ORYSJ,0.250586474,-0.03846868,0.063867721,-0.16987199,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q10S67_ORYSJ,0.051307038,1.296943193,0.052522985,1.903599788,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q10ST1_ORYSJ,0.431344334,-0.03737453,NP,NP,0.028458231,-0.409903083,NP,NP,0,0,0,0,0,0,1,0,1,0,0,0
Q10T01_ORYSJ,0.363759442,-0.00623361,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q2QLQ5_ORYSJ,0.00712298,0.215669251,0.003816223,0.516942197,NP,NP,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
Q2QLZ5_ORYSJ,0.006463073,0.316425787,0.000776819,2.291944537,NP,NP,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
Q2QM45_ORYSJ,0.135142914,0.059952021,0.008504682,0.239031222,0.098536971,-0.047101947,0.292354096,0.023866481,0,0,0,1,1,0,0,0,0,0,0,0
Q2QM64_ORYSJ,0.302363647,0.030049032,NP,NP,0.012377649,3.47433924,NP,NP,0,0,0,0,0,0,1,1,0,0,0,0
Q2QMB6_ORYSJ,0.023781344,0.129133948,NP,NP,0.026536628,-0.090195301,NP,NP,1,1,0,0,0,0,1,0,1,0,0,0
Q2QMV8_ORYSJ,0.004961915,0.354515694,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q2QN95_ORYSJ,0.293270111,0.062282254,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q2QP00_ORYSJ,0.143178818,-0.096881878,0.115899468,-0.781304713,0.009513455,0.127074961,0.147060491,0.179623563,0,0,0,0,0,0,1,1,0,0,0,0
Q2QTN6_ORYSJ,0.006757256,-0.412473151,NP,NP,0.000373753,0.293544142,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
Q2QU09_ORYSJ,0.274635465,-0.048827803,NP,NP,0.00069007,-0.369620911,0.001904625,0.873863152,0,0,0,0,0,0,1,0,1,1,1,0
Q2QYI3_ORYSJ,0.300485603,0.060810788,0.003333476,1.651666922,NP,NP,NP,NP,0,0,0,1,1,0,0,0,0,0,0,0
Q2R072_ORYSJ,0.001916638,0.163792744,NP,NP,3.24E-05,0.421912963,NP,NP,1,1,0,0,0,0,1,1,0,0,0,0
Q2R086_ORYSJ,0.002652911,0.197752269,NP,NP,0.000562084,-0.219641073,NP,NP,1,1,0,0,0,0,1,0,1,0,0,0
Q2R0M5_ORYSJ,0.002108137,-0.212944403,0.465584269,0.015264108,0.00203847,-0.27132008,NP,NP,1,0,1,0,0,0,1,0,1,0,0,0
Q2R0Y6_ORYSJ,0.429999044,0.076776909,0.138518017,-0.611322137,0.047637887,-0.183832443,0.041918798,-0.656412505,0,0,0,0,0,0,1,0,1,1,0,1
Q2R1N5_ORYSJ,0.107667812,0.108127949,NP,NP,5.43E-05,-0.630511196,NP,NP,0,0,0,0,0,0,1,0,1,0,0,0
Q2R1P5_ORYSJ,0.099391137,0.249962693,0.192978492,-0.34634208,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q2R2H0_ORYSJ,0.000846136,-0.400829791,NP,NP,0.385778283,0.017421005,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q2R3E0_ORYSJ,0.23119865,-0.027853054,0.18647481,0.192945948,0.002484846,-0.196282917,0.082408775,-0.808418579,0,0,0,0,0,0,1,0,1,0,0,0
Q2R4G0_ORYSJ,0.365523099,-0.016987255,0.270012788,-0.099993008,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q2R8Y8_ORYSJ,0.064103955,-0.077323923,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q2RA23_ORYSJ,0.171570697,0.091010773,NP,NP,0.021125209,-0.48806629,0.005550639,0.832320143,0,0,0,0,0,0,1,0,1,1,1,0
Q2RBJ3_ORYSJ,0.302363647,0.030049032,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q337H4_ORYSJ,0.007283407,-0.227460187,NP,NP,0.016207765,0.161814374,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
Q339F9_ORYSJ,0.104539384,-0.043757137,NP,NP,0.160582414,-0.082126174,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q339K4_ORYSJ,0.03379213,-0.194139264,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q339R3_ORYSJ,0.141705222,0.0703898,0.000845458,1.144640633,NP,NP,0.035056198,0.215500439,0,0,0,1,1,0,0,0,0,1,1,0
Q33BA3_ORYSJ,0.165138746,0.098443508,0.345492514,-0.057050056,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q53KA2_ORYSJ,0.02364029,0.090355646,NP,NP,0.000200486,-0.350917273,NP,NP,1,1,0,0,0,0,1,0,1,0,0,0
Q53KJ1_ORYSJ,0.000829402,-0.466699966,0.011683212,0.622168327,NP,NP,NP,NP,1,0,1,1,1,0,0,0,0,0,0,0
Q53KU9_ORYSJ,0.01803602,-0.274095112,0.003802506,2.465638468,NP,NP,0.023994179,-1.816206361,1,0,1,1,1,0,0,0,0,1,0,1
Q53MA7_ORYSJ,0.023978501,-0.177886882,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q53P84_ORYSJ,0.361984212,0.032978947,NP,NP,0.075647636,-0.144335884,0.000101557,-5.063130106,0,0,0,0,0,0,0,0,0,1,0,1
Q53PP7_ORYSJ,0.010820009,-0.37983433,0.386739376,0.060054151,NP,NP,0.08226071,2.233049329,1,0,1,0,0,0,0,0,0,0,0,0
Q5JJU6_ORYSJ,0.045841168,0.131727838,0.187713351,0.122213805,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q5JLP9_ORYSJ,2.03E-05,0.77602709,0.000174949,0.949673293,0.126928807,-0.048416936,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
Q5JMA1_ORYSJ,0.016101154,-0.10561568,NP,NP,0.057686188,0.045963098,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q5JMK3_ORYSJ,0.000173772,0.910115551,0.001885877,1.01949454,0.002895024,-0.559663711,0.014839748,-0.558182629,1,1,0,1,1,0,1,0,1,1,0,1
Q5JMX5_ORYSJ,0.331722699,0.036265034,NP,NP,0.000101002,0.715265959,NP,NP,0,0,0,0,0,0,1,1,0,0,0,0
Q5JNB3_ORYSJ,0.03379213,-0.194139264,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q5N6Y0_ORYSJ,0.000847828,-0.33766233,0.421871851,0.029934662,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q5N719_ORYSJ,0.007417706,-0.131239572,NP,NP,0.0009014,-0.117617438,NP,NP,1,0,1,0,0,0,1,0,1,0,0,0
Q5N9W8_ORYSJ,0.027877561,-0.055954479,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q5NBG3_ORYSJ,5.11E-05,0.915283129,0.000300015,1.175728689,NP,NP,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
Q5QLH2_ORYSJ,0.008477235,0.108023449,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q5QMC8_ORYSJ,0.000936058,-0.498562447,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q5QMW8_ORYSJ,0.490191625,0.001580162,0.000502242,1.283723486,4.48E-05,0.676260244,0.138736624,0.461534174,0,0,0,1,1,0,1,1,0,0,0,0
Q5SN81_ORYSJ,0.017446881,0.153112267,0.208870704,-0.278447974,0.119179072,0.035523004,0.028113192,-0.233176184,1,1,0,0,0,0,0,0,0,1,0,1
Q5SNE4_ORYSJ,0.432938523,-0.008673726,0.023691098,0.222515874,NP,NP,NP,NP,0,0,0,1,1,0,0,0,0,0,0,0
Q5VMR7_ORYSJ,0.036287796,0.223712458,NP,NP,0.000183137,0.81156942,NP,NP,1,1,0,0,0,0,1,1,0,0,0,0
Q5VNG4_ORYSJ,0.001623464,-0.356359539,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q5VP50_ORYSJ,0.044609838,0.206549456,0.001489658,0.98096747,NP,NP,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
Q5VP89_ORYSJ,0.197847452,-0.050558516,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q5VPC8_ORYSJ,0.273658561,-0.018553745,0.023462514,-0.3116917,NP,NP,NP,NP,0,0,0,1,0,1,0,0,0,0,0,0
Q5VQM7_ORYSJ,0.000311915,-0.353150023,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q5VRS8_ORYSJ,0.434369748,-0.00628641,0.132570337,0.078755905,0.001874739,-0.209245104,NP,NP,0,0,0,0,0,0,1,0,1,0,0,0
Q5VRX8_ORYSJ,0.491243579,0.001719691,NP,NP,0.000343647,1.276401547,NP,NP,0,0,0,0,0,0,1,1,0,0,0,0
Q5WMX9_ORYSJ,0.187288387,0.106268482,0.001308642,0.552454321,NP,NP,0.223449571,-0.081890014,0,0,0,1,1,0,0,0,0,0,0,0
Q5YM05_ORYSJ,2.51E-05,0.859839575,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q5Z5F4_ORYSJ,0.045102148,0.20876605,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q5Z7K5_ORYSJ,0.00513218,0.199766627,NP,NP,0.019490855,0.104754374,NP,NP,1,1,0,0,0,0,1,1,0,0,0,0
Q5Z800_ORYSJ,0.035625889,0.161318316,0.001882112,1.470254381,6.98E-05,1.488921656,0.154767109,-0.305592739,1,1,0,1,1,0,1,1,0,0,0,0
Q5Z8H3_ORYSJ,0.000683836,-0.459745231,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q5Z8I3_ORYSJ,0.011091524,0.195195508,NP,NP,0.441398295,-0.006491705,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q5Z9N8_ORYSJ,0.000218407,-0.21901173,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q5ZA32_ORYSJ,0.024406034,-0.127329376,0.001123369,-0.23219777,NP,NP,0.204136085,-0.436394252,1,0,1,1,0,1,0,0,0,0,0,0
Q5ZA54_ORYSJ,0.153741898,-0.078738218,NP,NP,0.001466853,-0.292801844,0.243169657,0.631903616,0,0,0,0,0,0,1,0,1,0,0,0
Q5ZC69_ORYSJ,0.002995075,-0.132706222,0.382019356,-0.018731016,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q5ZDB2_ORYSJ,0.002725478,-0.171340692,0.050412356,-0.241078234,0.035733945,0.095817372,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
Q60D95_ORYSJ,0.138943772,0.151234458,NP,NP,2.90E-05,1.377482654,NP,NP,0,0,0,0,0,0,1,1,0,0,0,0
Q60EH1_ORYSJ,0.491581475,0.001166625,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q60EM2_ORYSJ,0.041029232,0.15003921,NP,NP,0.000519759,0.452198819,NP,NP,1,1,0,0,0,0,1,1,0,0,0,0
Q653G4_ORYSJ,0.016924616,-0.803951244,0.002671882,1.395001647,NP,NP,NP,NP,1,0,1,1,1,0,0,0,0,0,0,0
Q653Y7_ORYSJ,0.305711635,0.031583603,0.024861751,1.277339279,0.102390987,0.062765796,0.055266676,0.19645596,0,0,0,1,1,0,0,0,0,0,0,0
Q654Y6_ORYSJ,0.000148377,0.458824763,NP,NP,0.084468672,-0.097915239,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q655L5_ORYSJ,0.111510595,0.290036806,NP,NP,0.070167227,-0.195870346,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q657Z6_ORYSJ,0.044609838,0.206549456,NP,NP,0.124715813,-0.205685091,0.287803817,-0.093642241,1,1,0,0,0,0,0,0,0,0,0,0
Q65WS9_ORYSJ,0.017282836,-0.234854848,NP,NP,0.005310432,0.293041023,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
Q65X84_ORYSJ,0.115828167,0.088064391,NP,NP,7.82E-05,0.816527017,NP,NP,0,0,0,0,0,0,1,1,0,0,0,0
Q65X96_ORYSJ,0.004349908,0.166954458,NP,NP,0.107992423,-0.091815805,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q65XE1_ORYSJ,0.112212221,0.121806223,0.001131615,1.547139445,NP,NP,NP,NP,0,0,0,1,1,0,0,0,0,0,0,0
Q65XJ2_ORYSJ,0.158636624,0.042913665,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q67TV0_ORYSJ,0.000634376,-0.377363755,0.442711366,-0.019456685,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q67U98_ORYSJ,0.072299016,0.078565905,NP,NP,0.003773247,-0.186789843,NP,NP,0,0,0,0,0,0,1,0,1,0,0,0
Q67UI0_ORYSJ,0.001191438,0.26753976,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q67VW4_ORYSJ,0.115018425,-0.072059932,0.002432513,0.981707928,NP,NP,0.363261656,0.087228099,0,0,0,1,1,0,0,0,0,0,0,0
Q67WE5_ORYSJ,0.036287796,0.223712458,NP,NP,0.000183137,0.81156942,NP,NP,1,1,0,0,0,0,1,1,0,0,0,0
Q67WY8_ORYSJ,0.019619082,0.679212356,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q67X36_ORYSJ,0.341410504,-0.155092047,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q69IM3_ORYSJ,0.122820519,0.089571884,0.189740747,0.130551146,0.000296829,-0.417672463,0.006594179,0.117069747,0,0,0,0,0,0,1,0,1,1,1,0
Q69J07_ORYSJ,0.012396475,-0.067818553,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q69JE2_ORYSJ,0.271974623,0.039394997,NP,NP,0.020688535,-0.125467493,NP,NP,0,0,0,0,0,0,1,0,1,0,0,0
Q69JI7_ORYSJ,0.430941763,0.008571392,NP,NP,0.122425047,-0.081178364,0.179929948,-2.222547795,0,0,0,0,0,0,0,0,0,0,0,0
Q69JJ6_ORYSJ,0.015162909,-0.126136159,0.156950358,0.10089501,0.120602622,0.03273584,0.038283033,-0.493396988,1,0,1,0,0,0,0,0,0,1,0,1
Q69JW6_ORYSJ,0.269790475,0.066415085,0.005144807,1.663452854,NP,NP,NP,NP,0,0,0,1,1,0,0,0,0,0,0,0
